objid,bsid,did,nseq,rssi,time_ux,bs_lat,bs_lng
573bf1d9864fce1a9af8c5c9,2841,473335.0,0.5,-121.5,1463546329000.0,39.6177937615,-104.954917061
573bf1d9864fce1a9af8c5c9,3526,473335.0,2.0,-125.0,1463546329000.0,39.6772510308,-104.952720509
573bf3533e952e19126b256a,2605,473335.0,1.0,-134.0,1463546707000.0,39.6127445823,-105.008826579
573c0cd0f0fe6e735a699b93,2610,473953.0,2.0,-132.0,1463553232000.0,39.7979686649,-105.073460438
573c0cd0f0fe6e735a699b93,3574,473953.0,1.0,-120.0,1463553232000.0,39.723150550999996,-104.95621566
573c0cd0f0fe6e735a699b93,8474,473953.0,2.0,-100.0,1463553232000.0,39.7320448643,-104.973650831
573c1272f0fe6e735a6cb8bd,1859,476512.0,1.0,-123.333333333,1463554674000.0,39.7048869498,-105.01639226700001
573c1272f0fe6e735a6cb8bd,2605,476512.0,1.0,-129.66666666700002,1463554674000.0,39.6127445823,-105.008826579
573c1272f0fe6e735a6cb8bd,3025,476512.0,1.0,-123.666666667,1463554674000.0,39.654681879099996,-105.04368528299999
573c1272f0fe6e735a6cb8bd,8082,476512.0,1.0,-133.0,1463554674000.0,39.495224589,-105.053108525
573c8ea8864fce1a9a5fbf7a,1086,476286.0,2.0,-141.0,1463586472000.0,39.9739948915,-104.891716745
573c8ea8864fce1a9a5fbf7a,1741,476286.0,1.0,-116.666666667,1463586472000.0,39.8078782841,-105.04775652299999
573c8ea8864fce1a9a5fbf7a,1878,476286.0,1.0,-120.333333333,1463586472000.0,39.803794978,-105.07208998899999
573c8ea8864fce1a9a5fbf7a,1987,476286.0,2.0,-138.0,1463586472000.0,39.807840941900004,-105.043755461
573c8ea8864fce1a9a5fbf7a,1988,476286.0,1.0,-138.0,1463586472000.0,39.926397002600005,-105.084103021
573c8ea8864fce1a9a5fbf7a,1996,476286.0,1.0,-131.0,1463586472000.0,39.8162240841,-105.045346792
573c8ea8864fce1a9a5fbf7a,2189,476286.0,1.5,-120.0,1463586472000.0,39.8176539435,-105.050983775
573c8ea8864fce1a9a5fbf7a,2605,476286.0,1.0,-132.0,1463586472000.0,39.6127445823,-105.008826579
573c8ea8864fce1a9a5fbf7a,2610,476286.0,1.0,-125.666666667,1463586472000.0,39.7979686649,-105.073460438
573c8ea8864fce1a9a5fbf7a,2617,476286.0,1.5,-137.5,1463586472000.0,39.7799081609,-105.06247933799999
573c8ea8864fce1a9a5fbf7a,2731,476286.0,1.0,-108.0,1463586472000.0,39.7814639251,-105.040763432
573c8ea8864fce1a9a5fbf7a,2784,476286.0,1.0,-125.5,1463586472000.0,39.7281854331,-105.042323764
573c8ea8864fce1a9a5fbf7a,2799,476286.0,1.0,-117.0,1463586472000.0,39.7530526327,-104.94102169899999
573c8ea8864fce1a9a5fbf7a,2846,476286.0,1.0,-130.0,1463586472000.0,39.666187571,-105.077529959
573c8ea8864fce1a9a5fbf7a,3256,476286.0,1.0,-136.33333333299998,1463586472000.0,39.864167432100004,-104.919153306
573c8ea8864fce1a9a5fbf7a,3410,476286.0,1.5,-121.5,1463586472000.0,39.7776897533,-105.00242432600001
573c8ea8864fce1a9a5fbf7a,3412,476286.0,1.0,-123.0,1463586472000.0,39.8241946127,-104.998428692
573c8ea8864fce1a9a5fbf7a,3526,476286.0,1.0,-136.0,1463586472000.0,39.6772510308,-104.952720509
573c8ea8864fce1a9a5fbf7a,3529,476286.0,1.0,-108.666666667,1463586472000.0,39.7553902903,-105.05640614100001
573c8ea8864fce1a9a5fbf7a,3538,476286.0,1.5,-135.5,1463586472000.0,39.8216715273,-105.023146494
573c8ea8864fce1a9a5fbf7a,3547,476286.0,1.0,-116.0,1463586472000.0,39.692975919,-105.044371274
573c8ea8864fce1a9a5fbf7a,3548,476286.0,1.0,-128.0,1463586472000.0,39.7448482036,-105.01004810200001
573c8ea8864fce1a9a5fbf7a,3555,476286.0,1.0,-125.0,1463586472000.0,39.8774948036,-105.031298006
